regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
94,0.011718328750079983,146285525.25200668,1714221.876281141,-16014119.99418253,alto,bajo,alto,alto,alto,alto,bajo,-588.0807968046283,-97444047.38662319,1161.3964102383397,107924327.53715865,-488.85841623615124,3009.356692733614,-1625.7753597611882
54,0.0017798143702912098,833527388.1991606,1483524.0235481658,-181416612.01001006,bajo,alto,alto,bajo,alto,alto,bajo,-15656.23727417225,-597970446.2089205,-29041.971890547487,551622079.2770076,122920.87257884142,-324681.9833100098,-474619.061730217
6,0.0014174139961073866,915348114.5934118,1297427.2289352098,-178783502.56316316,bajo,bajo,bajo,bajo,alto,alto,bajo,-324861.28561306355,-540681156.9012785,1838002.7445014901,716616830.5244596,-166015.8550533445,4102934.087880293,-1577803.408807195
59,0.002563597999521652,494663292.2778154,1268117.8265202018,410156425.2707101,bajo,alto,alto,alto,bajo,alto,alto,-10746.601484563384,225799940.70005342,-12078.52785244983,-159617871.91346386,3602.8828310843055,-18043.666328339437,-26115.40315332003
70,0.002801660454979816,449982232.29598445,1260697.4256672012,101222171.55019222,alto,bajo,bajo,bajo,alto,alto,bajo,185507.16543698648,259395120.6928308,-40224.92926419672,-353485621.115698,-44028.454168725875,-287897.55032491696,218035.51105493362
89,0.001293205051905364,884856260.4642946,1144300.5862425144,97160129.10915664,alto,bajo,alto,alto,bajo,bajo,alto,25403.695875887424,583313710.8365018,-11344.698696519656,-658236697.2750919,-20360.864499344316,202968.13956769567,183630.59608555297
67,0.004656197800706105,236904214.09996626,1103072.880670271,56455152.2505411,alto,bajo,bajo,bajo,bajo,alto,alto,56604.40643580817,134448577.8150213,482502.73528435105,-186707211.36756635,-44879.968576224,-138326.12836077868,-403023.91764518834
26,0.0013822128923734454,778150859.7529777,1075570.1505620466,-95778300.45867361,bajo,bajo,alto,alto,bajo,alto,bajo,-34408.49336597211,-533624354.55092585,-48136.61830102041,558202747.8746755,30830.763369215314,-84175.76218132103,81569.86256734026
98,0.0005238729094878818,1934471929.648676,1013417.4381076889,340019355.4701981,alto,alto,bajo,bajo,bajo,alto,bajo,179717.02047348235,1380492767.4012477,580747.2313814741,-1311794951.5758035,-242566.8349190301,587899.1973202624,1197767.796153929
87,0.03458456008388973,28479228.05579796,984941.5738385427,-3829261.63374652,alto,bajo,alto,bajo,alto,alto,alto,2206.5981361825834,-17767059.670980424,-856.5663412297145,21925656.462746155,839.7536671969574,-7401.535241049714,-17442.16827192204
3,0.002399842907760087,364245810.3290821,874132.7245995734,-70738012.14430378,bajo,bajo,bajo,bajo,bajo,alto,alto,-466795.3517896648,-214768294.962663,524357.0926410716,285554307.16103464,-170530.1972595426,344950.0965898981,1954533.5493796356
71,0.004110561777958252,206094200.17816493,847162.9419112415,-49916236.20649665,alto,bajo,bajo,bajo,alto,alto,alto,-176265.74278119544,-116307246.46116419,-210080.98304228246,162650535.5733882,2565.505726957519,566981.4037562183,468753.92393842095
86,0.02996119257918683,26669707.124434236,799056.2311856853,4259000.377534419,alto,bajo,alto,bajo,alto,alto,bajo,-1405.4023070245748,16312579.331198102,853.9607559272554,-20664792.50426242,744.8449774915352,13145.261917345691,-11142.230409099837
115,0.04072167813935601,19466912.95437206,792725.363694799,-8259514.180005804,alto,alto,alto,bajo,bajo,alto,alto,4.736770665738732,-13815236.840030309,708.5716698827455,10948988.791528206,110.55767764197662,675.9374118064297,-95.02757093841501
127,0.01859162765616592,39744163.3325519,738908.6861846473,-32982347.67495599,alto,alto,alto,alto,alto,alto,alto,-248.60871514763858,-18007100.67602922,329.2797420109855,12942472.090727618,-549.1212432153407,1278.4901441871407,413.1221782368375
99,0.000628852746059129,1031118451.3174434,648421.6696232106,-170849140.7783024,alto,alto,bajo,bajo,bajo,alto,alto,88619.94750171731,-735425648.3443131,-729201.6688298486,702252975.6056436,90137.16273174695,386399.95827958675,2238020.2768876995
19,0.010505333131009643,57170761.88525108,600597.8989581915,8368739.318630417,bajo,bajo,alto,bajo,bajo,alto,alto,51282.67124081397,34845993.41216668,31896.580347418785,-44544233.76834695,23720.90016379999,-134475.29297045863,-76839.29497153341
51,0.0036480461940354768,161270491.66499332,588322.203328709,-1052319.6545247,bajo,alto,alto,bajo,bajo,alto,alto,-78852.38402403604,105842370.12052657,-69474.53495990107,-121673488.13955152,27690.835122200922,23915.724575663815,-81812.4902449822
102,0.0003591075018849568,1608629033.125307,577670.7535452424,-288914995.5669949,alto,alto,bajo,bajo,alto,alto,bajo,-422011.29079076165,-1150605746.7608898,1086000.0883981888,1086424207.4856036,498497.3386792813,449534.18789971207,-1593860.0857214793
7,0.002259058226150262,233901508.6462446,528397.1272162555,40066903.680100165,bajo,bajo,bajo,bajo,alto,alto,alto,537493.2542341899,139621240.16317058,-964593.6512463713,-183312372.61752865,189203.8348294548,-1460916.9492188736,-1911256.334297332
