regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
76,0.027967563040247567,10.1491903834722,0.2838481218572331,0.23985025059349319,alto,bajo,bajo,alto,alto,bajo,bajo,7.001753367306082,0.7627906781744276,-3.126968525586452,0.7397114621449579,0.6694474489935675,1.7715474947433973,6.279370337990142
71,0.06197795334400723,3.357797009872794,0.208109386416543,3.1090292856615864,alto,bajo,bajo,bajo,alto,alto,alto,0.3793349246675325,-0.11705716223053982,-0.5188448028845423,-0.1632992586819462,0.7218184350905199,0.4553387828026424,-0.653389974196267
70,0.027572921531334938,5.247417506628419,0.14468663115241862,2.414832925328246,alto,bajo,bajo,bajo,alto,alto,bajo,2.3012438435851155,2.1753450942075805,-0.7813393315677094,2.120586800235971,-0.344136669769984,-0.530873938421417,2.4836437366749093
69,0.02548085537440212,5.631241413544386,0.14348884803686826,1.833732839483679,alto,bajo,bajo,bajo,alto,bajo,alto,-2.929956111465382,1.3339527002965095,0.16071265570856721,1.2970826855551565,-2.4590819166652333,-0.5747921448762816,-3.1461896280614576
68,0.013872714897220117,5.016289175966566,0.0695895495801954,1.738186524052209,alto,bajo,bajo,bajo,alto,bajo,bajo,2.5304684559898836,1.8831451381082092,-0.8902597198032025,1.847962294339716,-0.16266451976238971,-0.3237574626210408,2.8024191042712525
0,0.00012125445889044764,0.09009757150700974,1.092473228042588e-05,-0.037750312666539165,bajo,bajo,bajo,bajo,bajo,bajo,bajo,0.031042027887658197,0.03207846606838327,0.014733391275322805,0.024282034590644486,-0.05953161275142203,-0.018293212045423002,0.0038087082198041133
2,9.575241349659149e-05,0.08096848323308832,7.752927686726508e-06,-0.050064488870218825,bajo,bajo,bajo,bajo,bajo,alto,bajo,0.048464359057861166,-0.002344577507894266,-0.01506617552051133,-0.007064774845738062,-0.01785384099076048,0.013158013823825495,0.030436120552784926
8,3.559975904030134e-05,0.1701106684394309,6.055898806628334e-06,-0.06155069893322116,bajo,bajo,bajo,alto,bajo,bajo,bajo,0.06766713858429822,-0.05532030824707886,-0.06068295677747854,-0.05439786246263851,0.052101141322954354,0.06044276092523222,0.06708627184322295
10,3.3835351779886915e-05,0.14817642050508711,5.013601313274072e-06,-0.054478876532262514,bajo,bajo,bajo,alto,bajo,alto,bajo,0.05969602864656209,-0.047798409893781486,-0.053318598963715595,-0.04703382264452532,0.0445701240713156,0.052649863975203076,0.05767531687461923
1,5.148657398290323e-05,0.05390243136435732,2.7752515202993468e-06,-0.031171281868301162,bajo,bajo,bajo,bajo,bajo,bajo,alto,0.030902918496621155,-0.00792122903917605,-0.01383295808306155,-0.010016249281749616,-0.003650348115635931,0.013241998813089479,0.020874278422096364
3,4.126449147491651e-05,0.06653617887844841,2.7455815861032545e-06,-0.03280472755705023,bajo,bajo,bajo,bajo,bajo,alto,alto,0.03388941891672273,-0.016305749747643046,-0.020935912473581054,-0.01749250270008632,0.0074186294663219025,0.02067944361082385,0.02663770311571387
87,0.06972458209305793,2.17460578555286e-05,1.5162347961481912e-06,-3.5113568413623272e-06,alto,bajo,alto,bajo,alto,alto,alto,1.7187400275005954e-05,-1.5033811701283678e-06,4.264935995720517e-06,-2.469320102364489e-06,-4.151974704413516e-06,-5.628742594561073e-06,9.470251542340047e-06
9,1.7786996853202468e-05,0.08174409277402873,1.4539819209395396e-06,-0.03131627390827088,bajo,bajo,bajo,alto,bajo,bajo,alto,0.033744604738889065,-0.026147027129942463,-0.0292571596670532,-0.02581483455610246,0.023442749492051045,0.028901413860042236,0.031173402339726746
11,1.8492089182672195e-05,0.07299867949549113,1.349898091447926e-06,-0.02893137867385913,bajo,bajo,bajo,alto,bajo,alto,alto,0.030856152519925205,-0.022870554032243598,-0.02619947969855558,-0.022655774318141832,0.02019244671658585,0.025625105736785895,0.02743246892256197
95,0.018518362973270818,5.562667617072125e-05,1.0301149803260105e-06,-1.4484350327922317e-05,alto,bajo,alto,alto,alto,alto,alto,-1.4865168507005849e-05,1.998049028432156e-05,2.3848483850404112e-05,1.99967188033738e-05,-2.26508361780035e-05,-2.3001311726714678e-05,-1.5924754474098274e-05
14,6.090562167380783e-06,0.022898960699009527,1.3946754370572683e-07,-0.01139520188010258,bajo,bajo,bajo,alto,alto,alto,bajo,0.010629097051246246,-0.006076184882805432,-0.007585613223113964,-0.006251717977650187,0.005273217168526951,0.007272056176215271,0.00820359204083251
12,4.405358779414658e-06,0.02192270941364136,9.657740038394133e-08,-0.01069002242551046,bajo,bajo,bajo,alto,alto,bajo,bajo,0.0100303209688705,-0.005977610483692522,-0.007374754598117259,-0.006120533660939245,0.005121495094346661,0.00708385855451301,0.007856891309215295
15,5.007503810526326e-06,0.015688071924572063,7.855807994210568e-08,-0.007882983278602146,bajo,bajo,bajo,alto,alto,alto,alto,0.00739287526710168,-0.00401924135470034,-0.005064005159320067,-0.00415591064288315,0.0036659894246279167,0.004864324183624656,0.005757464703099703
6,3.3597618212931834e-06,0.02269317874691119,7.62436755576541e-08,-0.009915621002574686,bajo,bajo,bajo,bajo,alto,alto,bajo,0.009792816824067964,-0.006875855447570648,-0.007818657722800116,-0.006888180177879635,0.006010865021708415,0.007716016039979727,0.008320957619124613
4,3.0319393870613874e-06,0.02394110185816059,7.258796969340566e-08,-0.01009900115930347,bajo,bajo,bajo,bajo,alto,bajo,bajo,0.010113250868721627,-0.007460888604716109,-0.008292722294328262,-0.007433362651086568,0.0065695268918738725,0.008248166666545072,0.008833389585314872
13,3.5067816166842098e-06,0.014772504447412559,5.1803947028572094e-08,-0.007301565962969234,bajo,bajo,bajo,alto,alto,bajo,alto,0.006869576566765202,-0.0038859033623801957,-0.004852432877999484,-0.004000917814141533,0.0034688883268186184,0.004663949249926733,0.005411435850861551
7,2.3128460353031573e-06,0.01362021692962909,3.1501464725661584e-08,-0.006211446766532556,bajo,bajo,bajo,bajo,alto,alto,alto,0.006078036018945111,-0.003912021438240327,-0.0046005895307338575,-0.003955431439606534,0.003475208756001222,0.004502254207952645,0.005052086097969872
