regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
40,0.08553040793992846,2.4510023990883516,0.20963523505577006,-0.08515241062537654,bajo,alto,bajo,alto,bajo,bajo,bajo,0.4273489979225143,-0.04680224183567878,-0.06507097817080433,-0.06304008602954425,-2.380264649211354,-0.23545046294546415,0.29332440403436977
56,0.08091535941960327,2.329386544646832,0.18848314948728617,-0.08307448200561089,bajo,alto,alto,alto,bajo,bajo,bajo,-0.11848145003091282,-0.04568517043141833,-0.06358130064473709,-0.06152756104863907,-2.2750291840638805,-0.22873435014180882,-0.4087907804549891
44,0.09022171690864625,1.1146358353959325,0.10056435879732424,0.08339109662363496,bajo,alto,bajo,alto,alto,bajo,bajo,-0.012692276125910777,0.048023296924166334,0.06495788475981996,0.06360391654518759,-0.8905955119968615,0.21208272666990746,-0.6217613735983615
60,0.08777090261096829,1.1285276299916545,0.09905188870578435,0.0805241622058445,bajo,alto,alto,alto,alto,bajo,bajo,-0.04665520265479532,0.04663926504776049,0.0629326296084316,0.06161755121658968,-0.8305885835028929,0.20257744885603854,0.7239242264622368
79,0.045865356526437744,0.953512323054566,0.04373318264924955,0.12891433943259334,alto,bajo,bajo,alto,alto,alto,alto,0.553748763458847,0.038369629770571116,0.08322198285159661,0.07145024638177144,-0.07501762496185753,0.5504897838202994,-0.5135749599634264
127,0.04439904002069658,0.8792860833518252,0.03903945800437923,0.019506759315455983,alto,alto,alto,alto,alto,alto,alto,-0.8243670230219149,0.001678354808631649,0.008539968614967504,0.007486580642722318,-0.2702977107340036,0.1343670367287188,-0.04399277503589782
93,0.03576262583779159,1.0371689338273227,0.037091884511047765,0.04615685046588576,alto,bajo,alto,alto,alto,bajo,alto,-0.9182742428923938,0.005011055367323404,0.026603264654653347,0.018790773068044952,0.4183141900346859,0.22543164551643813,-0.05890018156743751
109,0.04244023955011786,0.8640519282464352,0.03667057081851996,-0.06615112044432893,alto,alto,bajo,alto,alto,bajo,alto,0.40650284805610243,-0.037542872000073925,-0.055377892146916664,-0.0502459897775372,0.03757000953692137,-0.15311449499946064,-0.7383148424836805
95,0.047398507904471227,0.73839528747755,0.034998834870128954,0.13609074978830404,alto,bajo,alto,alto,alto,alto,alto,-0.21156534930647508,0.0409410705134483,0.08796971931895936,0.07574971943984274,-0.07501197103409106,0.5820357259246536,0.3498596383491868
111,0.043522711997406406,0.6701742880079086,0.0291678025250351,0.015764592853666097,alto,alto,bajo,alto,alto,alto,alto,0.5804611730099353,0.00029265946969502367,0.005850883471687073,0.005210932806051182,-0.24900640073920274,0.118830350103419,0.18911258161351435
125,0.04274546539311871,0.5954023993986716,0.025450752658475757,-0.06145193585211439,alto,alto,alto,alto,alto,bajo,alto,-0.014989013859516152,-0.03532097446758455,-0.051611710642498206,-0.04702343356173634,0.03975019607817405,-0.13873699228994096,0.568816694479522
77,0.03504128292698068,0.7051934765528036,0.02471088413014791,0.04148539157535448,alto,bajo,bajo,alto,alto,bajo,alto,0.45004746330528533,0.0031749099319542985,0.02309610175681895,0.01585200174338193,0.43974601437784483,0.20815043035760009,0.23566104405052526
108,0.01539546572088992,1.269462173422446,0.019543961374891682,0.008737035366226697,alto,alto,bajo,alto,alto,bajo,bajo,0.8325203756242389,0.006672196133253371,0.007365044200956377,0.007566295940369625,-0.6306129616675265,0.046180453405567715,0.7200044065993714
124,0.015267390326499597,1.2575502510068624,0.01919951053730931,0.00812436711781564,alto,alto,alto,alto,alto,bajo,bajo,-0.0164920265572205,0.006058844326738592,0.0067500025249241265,0.006927164767428079,-0.6167052592210975,0.04494820180058822,-1.0948144437254876
42,0.01594765332120798,1.0860817596740566,0.017320455381769375,-0.023442460537097295,bajo,alto,bajo,alto,bajo,alto,bajo,-0.8594640426672175,-0.013331096478552957,-0.01858583451645812,-0.017686945045986023,-0.47281315206301006,-0.05727534793274698,0.46116903349548055
46,0.038204880145185895,0.4400401242726576,0.01681168020690959,0.005461130709701919,bajo,alto,bajo,alto,alto,alto,bajo,-0.04835445727671857,0.007532094143862904,0.006309755224394717,0.007399751961215122,-0.38919888635136773,-0.009114623039805298,-0.19888987457929475
58,0.01512389064207837,1.0528162987100682,0.015922678567888787,-0.0224408808133587,bajo,alto,alto,alto,bajo,alto,bajo,-0.833157965614846,-0.012789744483930192,-0.017813168849791405,-0.016950360824801232,-0.448372223739693,-0.054571225173195445,0.45714603696380435
62,0.037269008565777355,0.40310741708052317,0.015023413780102402,0.003920374622392947,bajo,alto,alto,alto,alto,alto,bajo,-0.02549245766960005,0.006756591042355136,0.005154889189886603,0.0063116179754381324,-0.37446119365569075,-0.013395808697877414,0.14600568755654086
12,0.01856225421288239,0.7266899302761824,0.013489003219728277,-0.031108948758180634,bajo,bajo,bajo,alto,alto,bajo,bajo,0.7017449937811253,-0.007671678917111668,-0.020033167267658872,-0.016058792703352996,-0.13343847054911745,-0.12679574315489675,-0.007962323726875234
28,0.018171489844713885,0.5140134374541309,0.009340389958744215,-0.03283879942100501,bajo,bajo,alto,alto,alto,bajo,bajo,0.32007684229264494,-0.008414959208027947,-0.021285156638616527,-0.017190596859524038,-0.14745155985243802,-0.13203389286630943,-0.34740170515360025
126,0.011333106332275914,0.7368304302137196,0.008350577614468693,0.022448683952653186,alto,alto,alto,alto,alto,alto,bajo,-0.5518176632059517,0.01110802855513859,0.016944906764705295,0.01581526339883198,0.016151228502277935,0.07633774682586225,-0.48079460433645554
110,0.01128234852069481,0.7094273204774924,0.008004006279729718,0.0228318480573721,alto,alto,bajo,alto,alto,alto,bajo,0.06205288728268482,0.011257727218195762,0.017156148354008638,0.01603672735941488,0.018131596164764934,0.07865073879095077,0.7012291558180773
76,0.008228435519621812,0.8997022483062096,0.007403141937046418,0.022591742528022863,alto,bajo,bajo,alto,alto,bajo,bajo,-0.8329829946409711,0.008003849956952169,0.015137875930517047,0.013575770645525943,0.3261227328403097,0.08900451476959088,-0.018377171727780195
92,0.008339254164921203,0.8503239110104203,0.007091067216425733,0.023434738572184997,alto,bajo,alto,alto,alto,bajo,bajo,-0.5828152629351901,0.008444884825641893,0.01581198888593627,0.01418822460796476,0.34184585789079575,0.09105708529693461,0.5071048331698831
78,0.009296575641087481,0.6878380327635999,0.006394538300403616,0.025964383051017628,alto,bajo,bajo,alto,alto,alto,bajo,0.16271748369485295,0.011270410764431502,0.019184737231205302,0.01717352182183355,0.39289024355400864,0.0820145478611903,0.5330017776095088
30,0.009050543910236101,0.6947845169490232,0.006288177778799313,-0.04151625164779385,bajo,bajo,alto,alto,alto,alto,bajo,-0.6200760917629581,-0.014290337877828138,-0.028756569429321966,-0.024456982329548856,-0.22998869621320497,-0.14137380252637077,0.14831357258151148
63,0.005839664460127123,0.8603507287389712,0.005024159573861441,0.008917235004314359,bajo,alto,alto,alto,alto,alto,alto,-0.35277238051423354,0.005165515404493969,0.005719078422380396,0.0067849629193943405,0.0901882211075493,0.027885090818799363,0.7788829098536876
14,0.009224547966310405,0.5014098967365422,0.004625279643228981,-0.0405606509748316,bajo,bajo,bajo,alto,alto,alto,bajo,-0.34620018031794003,-0.013925742223715171,-0.028083042875234273,-0.023866719938450926,-0.2221804424201743,-0.13830629222710816,0.2446776857578251
94,0.009544874290226667,0.4769612587257041,0.004552535255845123,0.025730517063273634,alto,bajo,alto,alto,alto,alto,bajo,-0.0862412999404483,0.011273854558899933,0.019133331290842465,0.017110108588701926,0.3855222036998015,0.07997273460357505,-0.2521576356113446
47,0.0059643148984618,0.6844687312084989,0.004082387051078096,0.00841135549220897,bajo,alto,bajo,alto,alto,alto,alto,-0.6791785947063455,0.00498914762217344,0.005366197364893956,0.006477077673159952,0.07632262491344148,0.02612234756560401,0.023237238956354565
13,0.0031195560928418556,0.8984703498459841,0.0028028286540997933,0.004559528267680745,bajo,bajo,bajo,alto,alto,bajo,alto,-0.7337427481907135,0.0013983073015200612,0.0018684315727002746,0.002618138377192566,0.13364437928256684,0.02030615839229679,-0.5005639805269566
45,0.012534361673745643,0.19848280042155728,0.002487855206501673,0.01720272423525586,bajo,alto,bajo,alto,alto,bajo,alto,-0.08075159807142404,0.012040465547035821,0.01304168842812113,0.014455304611126546,-0.06382641462331941,0.049005930532688265,-0.1599351776217231
61,0.01222347192640017,0.18201114578491667,0.0022248081307938575,0.016904368186576275,bajo,alto,alto,alto,alto,bajo,alto,-0.06493960967702272,0.011617832858522768,0.012673583840193119,0.014056966151716282,-0.0473165200995258,0.049131087743553827,0.1532293630440318
29,0.003068853616517095,0.6636886249486352,0.002036763236914877,0.005508276974509417,bajo,bajo,alto,alto,alto,bajo,alto,-0.21549903138457696,0.001880886127318865,0.0026001672470297205,0.0032970057010423223,0.14886442116412,0.023071187854938578,0.6093425578414787
8,0.0021547104969623313,0.6536201073439378,0.0014083621063196287,-0.00559459191666105,bajo,bajo,bajo,alto,bajo,bajo,bajo,-0.6445863091620823,-0.0033675365145292664,-0.004634180586130549,-0.004345542532630913,-0.06015995761412785,-0.011792722510596116,-0.08880566890836061
